2023-01-15 05:11:32 status unpacked libkrb5support0:armhf 1.18.3-6+deb11u3
2023-01-15 05:11:32 install libcap-ng0:armhf <none> 0.7.9-2.2+b1
2023-01-15 05:11:32 status half-installed libcap-ng0:armhf 0.7.9-2.2+b1
2023-01-15 05:11:32 status unpacked libcap-ng0:armhf 0.7.9-2.2+b1
2023-01-15 05:11:33 install libffi7:armhf <none> 3.3-6
2023-01-15 05:11:33 status half-installed libffi7:armhf 3.3-6
2023-01-15 05:11:33 status unpacked libffi7:armhf 3.3-6
2023-01-15 05:11:33 install libgcrypt20:armhf <none> 1.8.7-6
2023-01-15 05:11:33 status half-installed libgcrypt20:armhf 1.8.7-6
2023-01-15 05:11:33 status unpacked libgcrypt20:armhf 1.8.7-6
2023-01-15 05:11:33 install libgpg-error0:armhf <none> 1.38-2
2023-01-15 05:11:33 status half-installed libgpg-error0:armhf 1.38-2
2023-01-15 05:11:33 status unpacked libgpg-error0:armhf 1.38-2
2023-01-15 05:11:33 install libidn2-0:armhf <none> 2.3.0-5
2023-01-15 05:11:33 status half-installed libidn2-0:armhf 2.3.0-5
2023-01-15 05:11:33 status unpacked libidn2-0:armhf 2.3.0-5
2023-01-15 05:11:34 install libnsl2:armhf <none> 1.3.0-2
2023-01-15 05:11:34 status half-installed libnsl2:armhf 1.3.0-2
2023-01-15 05:11:34 status unpacked libnsl2:armhf 1.3.0-2
2023-01-15 05:11:34 install libseccomp2:armhf <none> 2.5.1-1+deb11u1
2023-01-15 05:11:34 status half-installed libseccomp2:armhf 2.5.1-1+deb11u1
2023-01-15 05:11:34 status unpacked libseccomp2:armhf 2.5.1-1+deb11u1
2023-01-15 05:11:34 install libselinux1:armhf <none> 3.1-3
2023-01-15 05:11:34 status half-installed libselinux1:armhf 3.1-3
2023-01-15 05:11:34 status unpacked libselinux1:armhf 3.1-3
2023-01-15 05:11:34 install libsemanage-common:all <none> 3.1-1
2023-01-15 05:11:34 status half-installed libsemanage-common:all 3.1-1
2023-01-15 05:11:34 status unpacked libsemanage-common:all 3.1-1
2023-01-15 05:11:34 install libsemanage1:armhf <none> 3.1-1+b2
2023-01-15 05:11:34 status half-installed libsemanage1:armhf 3.1-1+b2
2023-01-15 05:11:34 status unpacked libsemanage1:armhf 3.1-1+b2
2023-01-15 05:11:35 install libsepol1:armhf <none> 3.1-1
2023-01-15 05:11:35 status half-installed libsepol1:armhf 3.1-1
2023-01-15 05:11:35 status unpacked libsepol1:armhf 3.1-1
2023-01-15 05:11:35 install libtasn1-6:armhf <none> 4.16.0-2+deb11u1
2023-01-15 05:11:35 status half-installed libtasn1-6:armhf 4.16.0-2+deb11u1
2023-01-15 05:11:35 status unpacked libtasn1-6:armhf 4.16.0-2+deb11u1
2023-01-15 05:11:35 install libtirpc-common:all <none> 1.3.1-1+deb11u1
2023-01-15 05:11:35 status half-installed libtirpc-common:all 1.3.1-1+deb11u1
2023-01-15 05:11:35 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2023-01-15 05:11:35 install libtirpc3:armhf <none> 1.3.1-1+deb11u1
2023-01-15 05:11:35 status half-installed libtirpc3:armhf 1.3.1-1+deb11u1
2023-01-15 05:11:36 status unpacked libtirpc3:armhf 1.3.1-1+deb11u1
2023-01-15 05:11:36 install libunistring2:armhf <none> 0.9.10-4
2023-01-15 05:11:36 status half-installed libunistring2:armhf 0.9.10-4
2023-01-15 05:11:36 status unpacked libunistring2:armhf 0.9.10-4
2023-01-15 05:11:36 install libcrypt1:armhf <none> 1:4.4.18-4
2023-01-15 05:11:36 status half-installed libcrypt1:armhf 1:4.4.18-4
2023-01-15 05:11:36 status unpacked libcrypt1:armhf 1:4.4.18-4
2023-01-15 05:11:37 install libzstd1:armhf <none> 1.4.8+dfsg-2.1
2023-01-15 05:11:37 status half-installed libzstd1:armhf 1.4.8+dfsg-2.1
2023-01-15 05:11:37 status unpacked libzstd1:armhf 1.4.8+dfsg-2.1
2023-01-15 05:11:37 install lsb-base:all <none> 11.1.0
2023-01-15 05:11:37 status half-installed lsb-base:all 11.1.0
2023-01-15 05:11:37 status unpacked lsb-base:all 11.1.0
2023-01-15 05:11:37 install liblz4-1:armhf <none> 1.9.3-2
2023-01-15 05:11:37 status half-installed liblz4-1:armhf 1.9.3-2
2023-01-15 05:11:37 status unpacked liblz4-1:armhf 1.9.3-2
2023-01-15 05:11:38 upgrade mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2023-01-15 05:11:38 status half-configured mawk:armhf 1.3.4.20200120-2
2023-01-15 05:11:38 status unpacked mawk:armhf 1.3.4.20200120-2
2023-01-15 05:11:38 status half-installed mawk:armhf 1.3.4.20200120-2
2023-01-15 05:11:38 status unpacked mawk:armhf 1.3.4.20200120-2
2023-01-15 05:11:38 install libtinfo6:armhf <none> 6.2+20201114-2
2023-01-15 05:11:38 status half-installed libtinfo6:armhf 6.2+20201114-2
2023-01-15 05:11:38 status unpacked libtinfo6:armhf 6.2+20201114-2
2023-01-15 05:11:38 install ncurses-base:all <none> 6.2+20201114-2
2023-01-15 05:11:38 status half-installed ncurses-base:all 6.2+20201114-2
2023-01-15 05:11:39 status unpacked ncurses-base:all 6.2+20201114-2
2023-01-15 05:11:39 install ncurses-bin:armhf <none> 6.2+20201114-2
2023-01-15 05:11:39 status half-installed ncurses-bin:armhf 6.2+20201114-2
2023-01-15 05:11:39 status unpacked ncurses-bin:armhf 6.2+20201114-2
2023-01-15 05:11:39 install libhogweed6:armhf <none> 3.7.3-1
2023-01-15 05:11:39 status half-installed libhogweed6:armhf 3.7.3-1
2023-01-15 05:11:39 status unpacked libhogweed6:armhf 3.7.3-1
2023-01-15 05:11:39 install libnettle8:armhf <none> 3.7.3-1
2023-01-15 05:11:39 status half-installed libnettle8:armhf 3.7.3-1
2023-01-15 05:11:39 status unpacked libnettle8:armhf 3.7.3-1
2023-01-15 05:11:40 install libssl1.1:armhf <none> 1.1.1n-0+deb11u3
2023-01-15 05:11:40 status half-installed libssl1.1:armhf 1.1.1n-0+deb11u3
2023-01-15 05:11:40 status unpacked libssl1.1:armhf 1.1.1n-0+deb11u3
2023-01-15 05:11:40 install libp11-kit0:armhf <none> 0.23.22-1
2023-01-15 05:11:40 status half-installed libp11-kit0:armhf 0.23.22-1
2023-01-15 05:11:40 status unpacked libp11-kit0:armhf 0.23.22-1
2023-01-15 05:11:41 install libpam-modules:armhf <none> 1.4.0-9+deb11u1
2023-01-15 05:11:41 status half-installed libpam-modules:armhf 1.4.0-9+deb11u1
2023-01-15 05:11:41 status unpacked libpam-modules:armhf 1.4.0-9+deb11u1
2023-01-15 05:11:41 install libpam-modules-bin:armhf <none> 1.4.0-9+deb11u1
2023-01-15 05:11:41 status half-installed libpam-modules-bin:armhf 1.4.0-9+deb11u1
2023-01-15 05:11:42 status unpacked libpam-modules-bin:armhf 1.4.0-9+deb11u1
2023-01-15 05:11:42 install libpam-runtime:all <none> 1.4.0-9+deb11u1
2023-01-15 05:11:42 status half-installed libpam-runtime:all 1.4.0-9+deb11u1
2023-01-15 05:11:42 status unpacked libpam-runtime:all 1.4.0-9+deb11u1
2023-01-15 05:11:43 install libpam0g:armhf <none> 1.4.0-9+deb11u1
2023-01-15 05:11:43 status half-installed libpam0g:armhf 1.4.0-9+deb11u1
2023-01-15 05:11:43 status unpacked libpam0g:armhf 1.4.0-9+deb11u1
2023-01-15 05:11:43 install libpcre2-8-0:armhf <none> 10.36-2+deb11u1
2023-01-15 05:11:43 status half-installed libpcre2-8-0:armhf 10.36-2+deb11u1
2023-01-15 05:11:43 status unpacked libpcre2-8-0:armhf 10.36-2+deb11u1
2023-01-15 05:11:43 install libpcre3:armhf <none> 2:8.39-13
2023-01-15 05:11:43 status half-installed libpcre3:armhf 2:8.39-13
2023-01-15 05:11:44 status unpacked libpcre3:armhf 2:8.39-13
2023-01-15 05:11:44 upgrade perl-base:armhf 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2023-01-15 05:11:44 status half-configured perl-base:armhf 5.32.1-4+deb11u2
2023-01-15 05:11:44 status unpacked perl-base:armhf 5.32.1-4+deb11u2
2023-01-15 05:11:44 status half-installed perl-base:armhf 5.32.1-4+deb11u2
2023-01-15 05:11:45 status unpacked perl-base:armhf 5.32.1-4+deb11u2
2023-01-15 05:11:45 install sed:armhf <none> 4.7-1
2023-01-15 05:11:45 status half-installed sed:armhf 4.7-1
2023-01-15 05:11:45 status unpacked sed:armhf 4.7-1
2023-01-15 05:11:45 install login:armhf <none> 1:4.8.1-1
2023-01-15 05:11:45 status half-installed login:armhf 1:4.8.1-1
2023-01-15 05:11:46 status unpacked login:armhf 1:4.8.1-1
2023-01-15 05:11:46 install passwd:armhf <none> 1:4.8.1-1
2023-01-15 05:11:46 status half-installed passwd:armhf 1:4.8.1-1
2023-01-15 05:11:46 status unpacked passwd:armhf 1:4.8.1-1
2023-01-15 05:11:47 install libsystemd0:armhf <none> 247.3-7+deb11u1
2023-01-15 05:11:47 status half-installed libsystemd0:armhf 247.3-7+deb11u1
2023-01-15 05:11:47 status unpacked libsystemd0:armhf 247.3-7+deb11u1
2023-01-15 05:11:47 install libudev1:armhf <none> 247.3-7+deb11u1
2023-01-15 05:11:47 status half-installed libudev1:armhf 247.3-7+deb11u1
2023-01-15 05:11:47 status unpacked libudev1:armhf 247.3-7+deb11u1
2023-01-15 05:11:47 install sysvinit-utils:armhf <none> 2.96-7+deb11u1
2023-01-15 05:11:47 status half-installed sysvinit-utils:armhf 2.96-7+deb11u1
2023-01-15 05:11:47 status unpacked sysvinit-utils:armhf 2.96-7+deb11u1
2023-01-15 05:11:47 install tar:armhf <none> 1.34+dfsg-1
2023-01-15 05:11:47 status half-installed tar:armhf 1.34+dfsg-1
2023-01-15 05:11:48 status unpacked tar:armhf 1.34+dfsg-1
2023-01-15 05:11:48 install tzdata:all <none> 2021a-1+deb11u8
2023-01-15 05:11:48 status half-installed tzdata:all 2021a-1+deb11u8
2023-01-15 05:11:49 status unpacked tzdata:all 2021a-1+deb11u8
2023-01-15 05:11:49 install bsdutils:armhf <none> 1:2.36.1-8+deb11u1
2023-01-15 05:11:49 status half-installed bsdutils:armhf 1:2.36.1-8+deb11u1
2023-01-15 05:11:50 status unpacked bsdutils:armhf 1:2.36.1-8+deb11u1
2023-01-15 05:11:50 install libblkid1:armhf <none> 2.36.1-8+deb11u1
2023-01-15 05:11:50 status half-installed libblkid1:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:50 status unpacked libblkid1:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:50 install libmount1:armhf <none> 2.36.1-8+deb11u1
2023-01-15 05:11:50 status half-installed libmount1:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:50 status unpacked libmount1:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:50 install libsmartcols1:armhf <none> 2.36.1-8+deb11u1
2023-01-15 05:11:50 status half-installed libsmartcols1:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:50 status unpacked libsmartcols1:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:51 install libuuid1:armhf <none> 2.36.1-8+deb11u1
2023-01-15 05:11:51 status half-installed libuuid1:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:51 status unpacked libuuid1:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:51 install mount:armhf <none> 2.36.1-8+deb11u1
2023-01-15 05:11:51 status half-installed mount:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:51 status unpacked mount:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:51 install util-linux:armhf <none> 2.36.1-8+deb11u1
2023-01-15 05:11:51 status half-installed util-linux:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:51 status unpacked util-linux:armhf 2.36.1-8+deb11u1
2023-01-15 05:11:52 install libxxhash0:armhf <none> 0.8.0-2
2023-01-15 05:11:52 status half-installed libxxhash0:armhf 0.8.0-2
2023-01-15 05:11:52 status unpacked libxxhash0:armhf 0.8.0-2
2023-01-15 05:11:52 install liblzma5:armhf <none> 5.2.5-2.1~deb11u1
2023-01-15 05:11:52 status half-installed liblzma5:armhf 5.2.5-2.1~deb11u1
2023-01-15 05:11:52 status unpacked liblzma5:armhf 5.2.5-2.1~deb11u1
2023-01-15 05:11:52 install zlib1g:armhf <none> 1:1.2.11.dfsg-2+deb11u2
2023-01-15 05:11:52 status half-installed zlib1g:armhf 1:1.2.11.dfsg-2+deb11u2
2023-01-15 05:11:52 status unpacked zlib1g:armhf 1:1.2.11.dfsg-2+deb11u2
2023-01-15 05:11:52 startup packages configure
2023-01-15 05:11:52 configure lsb-base:all 11.1.0 <none>
2023-01-15 05:11:52 status unpacked lsb-base:all 11.1.0
2023-01-15 05:11:52 status half-configured lsb-base:all 11.1.0
